"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"China's growing CO(2) emissions - A race between increasing consumption and efficiency gains","Peters, Glen P.; Weber, Christopher L.; Guan, Dabo; Hubacek, Klaus","","","","ENVIRONMENTAL SCIENCE & TECHNOLOGY","SEP 1 2007","2007","41","17","","","","5939","5944","","10.1021/es070108f","","","223","22.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","14","16","28","32","22","53","43","9"
"Developing country experience with eco-industrial parks: a case study of the Tianjin Economic-Technological Development Area in China","Shi, Han; Chertow, Marian; Song, Yuyan","","","","JOURNAL OF CLEANER PRODUCTION","FEB 2010","2010","18","3","","","","191","199","","10.1016/j.jclepro.2009.10.002","","","78","11.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","11","12","17","24","1"
"Organizing Self-Organizing Systems","Chertow, Marian; Ehrenfeld, John","","","","JOURNAL OF INDUSTRIAL ECOLOGY","FEB 2012","2012","16","1","","","","13","27","","10.1111/j.1530-9290.2011.00450.x","","","51","10.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","14","26","3"
"The dynamics of industrial symbiosis: a proposal for a conceptual framework based upon a comprehensive literature review","Boons, Frank; Spekkink, Wouter; Mouzakitis, Yannis","","","","JOURNAL OF CLEANER PRODUCTION","JUN-JUL 2011","2011","19","9-10","","","","905","911","","10.1016/j.jclepro.2011.01.003","","","48","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","6","15","19","0"
"Resource consumption of new urban construction in China","Fernandez, John E.","","","","JOURNAL OF INDUSTRIAL ECOLOGY","SPR 2007","2007","11","2","","","","99","115","","10.1162/jie.2007.1199","Conference on Urban Transformation and Reform for Sustainability","OCT, 2005","42","4.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","6","4","9","6","5","4","3"
"Implementing China's circular economy concept at the regional level: A review of progress in Dalian, China","Geng, Yong; Zhu, Qinghua; Doberstein, Brent; Fujita, Tsuyoshi","","","","WASTE MANAGEMENT","FEB 2009","2009","29","2","","","","996","1002","","10.1016/j.wasman.2008.06.036","5th Asian-Pacific Landfill Symposium","OCT 22-24, 2008","41","5.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","6","6","6","8","4"
"Evaluating green supply chain management among Chinese manufacturers from the ecological modernization perspective","Zhu, Qinghua; Geng, Yong; Sarkis, Joseph; Lai, Kee-hung","","","","TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","NOV 2011","2011","47","6","","","","808","821","","10.1016/j.tre.2010.09.013","","","38","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","6","15","4"
"Eco-industrial parks: national pilot practices in China","Zhang, Ling; Yuan, Zengwei; Bi, Jun; Zhang, Bing; Liu, Beibei","","","","JOURNAL OF CLEANER PRODUCTION","MAR 2010","2010","18","5","","","","504","509","","10.1016/j.jclepro.2009.11.018","","","38","5.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","4","10","11","1"
"Development pattern and enhancing system of automotive components remanufacturing industry in China","Zhang, Tongzhu; Chu, Jiangwei; Wang, Xueping; Liu, Xianghai; Cui, Pengfei","","","","RESOURCES CONSERVATION AND RECYCLING","APR 2011","2011","55","6","","","SI","613","622","","10.1016/j.resconrec.2010.09.015","","","36","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","14","14","1"
"Towards a national circular economy indicator system in China: an evaluation and critical analysis","Geng, Yong; Fu, Jia; Sarkis, Joseph; Xue, Bing","","","","JOURNAL OF CLEANER PRODUCTION","MAR 2012","2012","23","1","","","","216","224","","10.1016/j.jclepro.2011.07.005","","","31","6.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","7","14","1"
"Case study of industrial symbiosis: Nanning Sugar Co., Ltd. in China","Yang, Shanlin; Feng, Nanping","","","","RESOURCES CONSERVATION AND RECYCLING","MAR 2008","2008","52","5","","","","813","820","","10.1016/j.resconrec.2007.11.008","","","31","3.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","5","0","3","5","10","2"
"Ecological utilization of leather tannery waste with circular economy model","Hu, Jing; Xiao, Zuobing; Zhou, Rujun; Deng, Weijun; Wang, Mingxi; Ma, Shuangshuang","","","","JOURNAL OF CLEANER PRODUCTION","JAN-FEB 2011","2011","19","2-3","","","","221","228","","10.1016/j.jclepro.2010.09.018","","","30","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","7","9","6"
"Regional initiatives on promoting cleaner production in China: a case of Liaoning","Geng, Yong; Wang Xinbei; Zhu Qinghua; Zhao Hengxin","","","","JOURNAL OF CLEANER PRODUCTION","OCT 2010","2010","18","15","","","","1502","1508","","10.1016/j.jclepro.2010.06.028","","","29","4.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","11","5","10","0"
"Circular economy practices among Chinese manufacturers varying in environmental-oriented supply chain cooperation and the performance implications","Zhu, Qinghua; Geng, Yong; Lai, Kee-hung","","","","JOURNAL OF ENVIRONMENTAL MANAGEMENT","JUN 2010","2010","91","6","","","","1324","1331","","10.1016/j.jenvman.2010.02.013","","","29","4.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","4","8","3","2"
